,count,mean,std,min,25%,50%,75%,max
T Return,119.0,-0.007000334752997033,0.09784671424872426,-0.3515568333095296,-0.0511079173486417,-0.0070797624055508,0.04232690329528074,0.3071267293880281
Mean,119.0,36529.560014773786,13781.308175315518,16592.549740046692,26071.302868315448,35496.463767952984,45453.74624607017,69393.9513858719
Std,119.0,3598.8321266403086,2429.3085628574486,708.7931855436888,1725.0112172529605,2868.842657655904,5085.238547589355,16566.919305978598
Skewness,119.0,0.07232407324554116,0.687885837613297,-1.483177905251327,-0.24688364468616625,0.0372208433316115,0.2911788742491376,4.215592525138864
Kurtosis,119.0,2.1403801706893852,2.9086253268406272,0.4327362713586495,1.2819134694844516,1.6078149111853817,1.9555620602247914,26.46923348493171
Median,119.0,36497.07478991597,13738.81859929899,16678.0,26066.9,35379.1,45497.1,69137.5
Fear and Greed Index,119.0,46.53781512605042,22.42871567235392,9.0,25.0,48.0,69.0,93.0
T-1 Return,119.0,-0.00601251736467389,0.09799816113743783,-0.3515568333095296,-0.048022206682665144,-0.0065069245514487,0.04631664325049935,0.3071267293880281
T-2 Return,119.0,-0.006116619667889099,0.09800947929616062,-0.3515568333095296,-0.048022206682665144,-0.0065069245514487,0.04631664325049935,0.3071267293880281
T-3 Return,119.0,-0.005531765127830747,0.09773829254692672,-0.3515568333095296,-0.043900889911992896,-0.0065069245514487,0.04631664325049935,0.3071267293880281
T-4 Return,119.0,-0.005498156486888479,0.09774783086307999,-0.3515568333095296,-0.043900889911992896,-0.0065069245514487,0.04631664325049935,0.3071267293880281
